00000000;00000000;NOP;1;F;No operation
00000001;00RP0001;LXI rp,data16;3;F R R;Load RP immediate
00000010;00RP0010;STAX rp;2;F W;Store ACC indirect
00000011;00RP0011;INX rp;1;S;Increment RP
00000100;00DDD100;INR r;1;F;Increment register
00000101;00DDD101;DCR r;1;F;Decrement register
00000110;00DDD110;MVI r,data;2;F R;Move immediate
00000111;00000111;RLC;1;F;Rotate left
00001000;;;;;NOT USED
00001001;00RP1001;DAD rp;3;F B B;Add RP to HL
00001010;00RP1010;LDAX rp;2;F R;Load ACC indirect
00001011;00RP1011;DCX rp;1;S;Decrement RP
00001100;00DDD100;INR r;1;F;Increment register
00001101;00DDD101;DCR r;1;F;Decrement register
00001110;00DDD110;MVI r,data;2;F R;Move immediate
00001111;00001111;RRC;1;F;Rotate right
00010000;;;;;NOT USED
00010001;00RP0001;LXI rp,data16;3;F R R;Load RP immediate
00010010;00RP0010;STAX rp;2;F W;Store ACC indirect
00010011;00RP0011;INX rp;1;S;Increment RP
00010100;00DDD100;INR r;1;F;Increment register
00010101;00DDD101;DCR r;1;F;Decrement register
00010110;00DDD110;MVI r,data;2;F R;Move immediate
00010111;00010111;RAL;1;F;Rotate left through CY
00011000;;;;;NOT USED
00011001;00RP1001;DAD rp;3;F B B;Add RP to HL
00011010;00RP1010;LDAX rp;2;F R;Load ACC indirect
00011011;00RP1011;DCX rp;1;S;Decrement RP
00011100;00DDD100;INR r;1;F;Increment register
00011101;00DDD101;DCR r;1;F;Decrement register
00011110;00DDD110;MVI r,data;2;F R;Move immediate
00011111;00011111;RAR;1;F;Rotate right through CY
00100000;00100000;RIM;1;F;Read (SID|I7.5|I6|I5|IE|M7.5|M6|M5)
00100001;00RP0001;LXI rp,data16;3;F R R;Load RP immediate
00100010;00100010;SHLD addr;5;F R R W W;Store HL direct
00100011;00RP0011;INX rp;1;S;Increment RP
00100100;00DDD100;INR r;1;F;Increment register
00100101;00DDD101;DCR r;1;F;Decrement register
00100110;00DDD110;MVI r,data;2;F R;Move immediate
00100111;00100111;DAA;1;F;Decimal Adjust Accumulator
00101000;;;;;NOT USED
00101001;00RP1001;DAD rp;3;F B B;Add RP to HL
00101010;00101010;LHLD addr;5;F R R R R;Load HL direct
00101011;00RP1011;DCX rp;1;S;Decrement RP
00101100;00DDD100;INR r;1;F;Increment register
00101101;00DDD101;DCR r;1;F;Decrement register
00101110;00DDD110;MVI r,data;2;F R;Move immediate
00101111;00101111;CMA;1;F;Complement ACC
00110000;00110000;SIM;1;F;Set (SOD|SOE|X|R7.5|MSE|M7.5|M6|M5)
00110001;00RP0001;LXI rp,data16;3;F R R;Load RP immediate
00110010;00110010;STA addr;4;F R R W;Store ACC direct
00110011;00RP0011;INX rp;1;S;Increment RP
00110100;00110100;INR M;3;F R W;Increment M
00110101;00110101;DCR M;3;F R W;Decrement M
00110110;00110110;MVI M,data;3;F R W;Move to M immediate
00110111;00110111;STC;1;F;Set CY
00111000;;;;;NOT USED
00111001;00RP1001;DAD rp;3;F B B;Add RP to HL
00111010;00111010;LDA addr;4;F R R R;Load ACC direct
00111011;00RP1011;DCX rp;1;S;Decrement RP
00111100;00DDD100;INR r;1;F;Increment register
00111101;00DDD101;DCR r;1;F;Decrement register
00111110;00DDD110;MVI r,data;2;F R;Move immediate
00111111;00111111;CMC;1;F;Complement CY
01000000;01DDDSSS;MOV r1,r2;1;F;Move register
01000001;01DDDSSS;MOV r1,r2;1;F;Move register
01000010;01DDDSSS;MOV r1,r2;1;F;Move register
01000011;01DDDSSS;MOV r1,r2;1;F;Move register
01000100;01DDDSSS;MOV r1,r2;1;F;Move register
01000101;01DDDSSS;MOV r1,r2;1;F;Move register
01000110;01DDD110;MOV r,M;2;F R;Move from M
01000111;01DDDSSS;MOV r1,r2;1;F;Move register
01001000;01DDDSSS;MOV r1,r2;1;F;Move register
01001001;01DDDSSS;MOV r1,r2;1;F;Move register
01001010;01DDDSSS;MOV r1,r2;1;F;Move register
01001011;01DDDSSS;MOV r1,r2;1;F;Move register
01001100;01DDDSSS;MOV r1,r2;1;F;Move register
01001101;01DDDSSS;MOV r1,r2;1;F;Move register
01001110;01DDD110;MOV r,M;2;F R;Move from M
01001111;01DDDSSS;MOV r1,r2;1;F;Move register
01010000;01DDDSSS;MOV r1,r2;1;F;Move register
01010001;01DDDSSS;MOV r1,r2;1;F;Move register
01010010;01DDDSSS;MOV r1,r2;1;F;Move register
01010011;01DDDSSS;MOV r1,r2;1;F;Move register
01010100;01DDDSSS;MOV r1,r2;1;F;Move register
01010101;01DDDSSS;MOV r1,r2;1;F;Move register
01010110;01DDD110;MOV r,M;2;F R;Move from M
01010111;01DDDSSS;MOV r1,r2;1;F;Move register
01011000;01DDDSSS;MOV r1,r2;1;F;Move register
01011001;01DDDSSS;MOV r1,r2;1;F;Move register
01011010;01DDDSSS;MOV r1,r2;1;F;Move register
01011011;01DDDSSS;MOV r1,r2;1;F;Move register
01011100;01DDDSSS;MOV r1,r2;1;F;Move register
01011101;01DDDSSS;MOV r1,r2;1;F;Move register
01011110;01DDD110;MOV r,M;2;F R;Move from M
01011111;01DDDSSS;MOV r1,r2;1;F;Move register
01100000;01DDDSSS;MOV r1,r2;1;F;Move register
01100001;01DDDSSS;MOV r1,r2;1;F;Move register
01100010;01DDDSSS;MOV r1,r2;1;F;Move register
01100011;01DDDSSS;MOV r1,r2;1;F;Move register
01100100;01DDDSSS;MOV r1,r2;1;F;Move register
01100101;01DDDSSS;MOV r1,r2;1;F;Move register
01100110;01DDD110;MOV r,M;2;F R;Move from M
01100111;01DDDSSS;MOV r1,r2;1;F;Move register
01101000;01DDDSSS;MOV r1,r2;1;F;Move register
01101001;01DDDSSS;MOV r1,r2;1;F;Move register
01101010;01DDDSSS;MOV r1,r2;1;F;Move register
01101011;01DDDSSS;MOV r1,r2;1;F;Move register
01101100;01DDDSSS;MOV r1,r2;1;F;Move register
01101101;01DDDSSS;MOV r1,r2;1;F;Move register
01101110;01DDD110;MOV r,M;2;F R;Move from M
01101111;01DDDSSS;MOV r1,r2;1;F;Move register
01110000;01110SSS;MOV M,r;2;F W;Move to M
01110001;01110SSS;MOV M,r;2;F W;Move to M
01110010;01110SSS;MOV M,r;2;F W;Move to M
01110011;01110SSS;MOV M,r;2;F W;Move to M
01110100;01110SSS;MOV M,r;2;F W;Move to M
01110101;01110SSS;MOV M,r;2;F W;Move to M
01110110;01110110;HLT;1+;F B;Halt
01110111;01110SSS;MOV M,r;2;F W;Move to M
01111000;01DDDSSS;MOV r1,r2;1;F;Move register
01111001;01DDDSSS;MOV r1,r2;1;F;Move register
01111010;01DDDSSS;MOV r1,r2;1;F;Move register
01111011;01DDDSSS;MOV r1,r2;1;F;Move register
01111100;01DDDSSS;MOV r1,r2;1;F;Move register
01111101;01DDDSSS;MOV r1,r2;1;F;Move register
01111110;01DDD110;MOV r,M;2;F R;Move from M
01111111;01DDDSSS;MOV r1,r2;1;F;Move register
10000000;10000SSS;ADD r;1;F;Add register
10000001;10000SSS;ADD r;1;F;Add register
10000010;10000SSS;ADD r;1;F;Add register
10000011;10000SSS;ADD r;1;F;Add register
10000100;10000SSS;ADD r;1;F;Add register
10000101;10000SSS;ADD r;1;F;Add register
10000110;10000110;ADD M;2;F R;Add M
10000111;10000SSS;ADD r;1;F;Add register
10001000;10001SSS;ADC r;1;F;Add register with CY
10001001;10001SSS;ADC r;1;F;Add register with CY
10001010;10001SSS;ADC r;1;F;Add register with CY
10001011;10001SSS;ADC r;1;F;Add register with CY
10001100;10001SSS;ADC r;1;F;Add register with CY
10001101;10001SSS;ADC r;1;F;Add register with CY
10001110;10001110;ADC M;2;F R;Add M with CY
10001111;10001SSS;ADC r;1;R;Add register with CY
10010000;10010SSS;SUB r;1;F;Subtract register
10010001;10010SSS;SUB r;1;F;Subtract register
10010010;10010SSS;SUB r;1;F;Subtract register
10010011;10010SSS;SUB r;1;F;Subtract register
10010100;10010SSS;SUB r;1;F;Subtract register
10010101;10010SSS;SUB r;1;F;Subtract register
10010110;10010110;SUB M;2;F R;Subtract Memory
10010111;10010SSS;SUB r;1;R;Subtract register
10011000;10011SSS;SBB r;1;F;Subtract register with CY
10011001;10011SSS;SBB r;1;F;Subtract register with CY
10011010;10011SSS;SBB r;1;F;Subtract register with CY
10011011;10011SSS;SBB r;1;F;Subtract register with CY
10011100;10011SSS;SBB r;1;F;Subtract register with CY
10011101;10011SSS;SBB r;1;F;Subtract register with CY
10011110;10011110;SBB M;2;F R;Subtract M with CY
10011111;10011SSS;SBB r;1;R;Subtract register with CY
10100000;10100SSS;ANA r;1;F;AND register
10100001;10100SSS;ANA r;1;F;AND register
10100010;10100SSS;ANA r;1;F;AND register
10100011;10100SSS;ANA r;1;F;AND register
10100100;10100SSS;ANA r;1;F;AND register
10100101;10100SSS;ANA r;1;F;AND register
10100110;10100110;ANA M;2;F R;AND M
10100111;10100SSS;ANA r;1;R;AND register
10101000;10101SSS;XRA r;1;F;XOR register
10101001;10101SSS;XRA r;1;F;XOR register
10101010;10101SSS;XRA r;1;F;XOR register
10101011;10101SSS;XRA r;1;F;XOR register
10101100;10101SSS;XRA r;1;F;XOR register
10101101;10101SSS;XRA r;1;F;XOR register
10101110;10101110;XRA M;2;F R;XOR M
10101111;10101SSS;XRA r;1;R;XOR register
10110000;10110SSS;ORA r;1;F;OR register
10110001;10110SSS;ORA r;1;F;OR register
10110010;10110SSS;ORA r;1;F;OR register
10110011;10110SSS;ORA r;1;F;OR register
10110100;10110SSS;ORA r;1;F;OR register
10110101;10110SSS;ORA r;1;F;OR register
10110110;10110110;ORA M;2;F R;OR M
10110111;10110SSS;ORA r;1;R;OR register
10111000;10111SSS;CMP r;1;F;Compare register
10111001;10111SSS;CMP r;1;F;Compare register
10111010;10111SSS;CMP r;1;F;Compare register
10111011;10111SSS;CMP r;1;F;Compare register
10111100;10111SSS;CMP r;1;F;Compare register
10111101;10111SSS;CMP r;1;F;Compare register
10111110;10111110;CMP M;2;F R;Compare M
10111111;10111SSS;CMP r;1;R;Compare register
11000000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11000001;11RP0001;POP rp;3;F R R;Pop RP
11000010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11000011;11000011;JMP addr;3;F R R;Jump
11000100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11000101;11RP0101;PUSH rp;3;S W W;Push RP
11000110;11000110;ADI data;2;F R;Add immediate
11000111;11NNN111;RST n;3;S W W;Restart
11001000;11CCC000;Rccc;1/3;S / S R R;Conditional return
11001001;11001001;RET;3;F R R;Return
11001010;11CCC010;Jccc addr;2/3;F R / F R R;Conditional jump Z,C,P,S
11001011;;;;;NOT USED
11001100;11CCC100;Cccc addr;2/5;S R / S R R W W;Conditional call
11001101;11001101;CALL addr;5;S R R W W;Call subroutine
11001110;11001110;ACI data;2;F R;Add immediate with CY
11001111;11NNN111;RST n;3;S W W;Restart
