00000000;00000000;NOP;1;No operation
00000001;00RP0001;LXI rp,data16;3;Load RP immediate
00000010;00RP0010;STAX rp;2;Store ACC indirect
00000011;00RP0011;INX rp;1;Increment RP
00000100;00DDD100;INR r;1;Increment register
00000101;00DDD101;DCR r;1;Decrement register
00000110;00DDD110;MVI r,data;2;Move immediate
00000111;00000111;RLC;1;Rotate left
00001000;;;;
00001001;00RP1001;DAD rp;3;Add RP to HL
00001010;00RP1010;LDAX rp;2;Load ACC indirect
00001011;00RP1011;DCX rp;1;Decrement RP
00001100;00DDD100;INR r;1;Increment register
00001101;00DDD101;DCR r;1;Decrement register
00001110;00DDD110;MVI r,data;2;Move immediate
00001111;00001111;RRC;1;Rotate right
00010000;;;;
00010001;00RP0001;LXI rp,data16;3;Load RP immediate
00010010;00RP0010;STAX rp;2;Store ACC indirect
00010011;00RP0011;INX rp;1;Increment RP
00010100;00DDD100;INR r;1;Increment register
00010101;00DDD101;DCR r;1;Decrement register
00010110;00DDD110;MVI r,data;2;Move immediate
00010111;00010111;RAL;1;Rotate left through CY
00011000;;;;
00011001;00RP1001;DAD rp;3;Add RP to HL
00011010;00RP1010;LDAX rp;2;Load ACC indirect
00011011;00RP1011;DCX rp;1;Decrement RP
00011100;00DDD100;INR r;1;Increment register
00011101;00DDD101;DCR r;1;Decrement register
00011110;00DDD110;MVI r,data;2;Move immediate
00011111;00011111;RAR;1;Rotate right through CY
00100000;00100000;RIM;1;Read (SID|I7.5|I6|I5|IE|M7.5|M6|M5)
00100001;00RP0001;LXI rp,data16;3;Load RP immediate
00100010;00100010;SHLD addr;5;Store HL direct
00100011;00RP0011;INX rp;1;Increment RP
00100100;00DDD100;INR r;1;Increment register
00100101;00DDD101;DCR r;1;Decrement register
00100110;00DDD110;MVI r,data;2;Move immediate
00100111;00100111;DAA;1;Decimal Adjust Accumulator
00101000;;;;
00101001;00RP1001;DAD rp;3;Add RP to HL
00101010;00101010;LHLD addr;5;Load HL direct
00101011;00RP1011;DCX rp;1;Decrement RP
00101100;00DDD100;INR r;1;Increment register
00101101;00DDD101;DCR r;1;Decrement register
00101110;00DDD110;MVI r,data;2;Move immediate
00101111;00101111;CMA;1;Complement ACC
00110000;00110000;SIM;1;Set (SOD|SOE|X|R7.5|MSE|M7.5|M6|M5)
00110001;00RP0001;LXI rp,data16;3;Load RP immediate
00110010;00110010;STA addr;4;Store ACC direct
00110011;00RP0011;INX rp;1;Increment RP
00110100;00110100;INR M;3;Increment M
00110101;00110101;DCR M;3;Decrement M
00110110;00110110;MVI M,data;3;Move to M immediate
00110111;00110111;STC;1;Set CY
00111000;;;;
00111001;00RP1001;DAD rp;3;Add RP to HL
00111010;00111010;LDA addr;4;Load ACC direct
00111011;00RP1011;DCX rp;1;Decrement RP
00111100;00DDD100;INR r;1;Increment register
00111101;00DDD101;DCR r;1;Decrement register
00111110;00DDD110;MVI r,data;2;Move immediate
00111111;00111111;CMC;1;Complement CY
01000000;01DDDSSS;MOV r1,r2;1;Move register
01000001;01DDDSSS;MOV r1,r2;1;Move register
01000010;01DDDSSS;MOV r1,r2;1;Move register
01000011;01DDDSSS;MOV r1,r2;1;Move register
01000100;01DDDSSS;MOV r1,r2;1;Move register
01000101;01DDDSSS;MOV r1,r2;1;Move register
01000110;01DDD110;MOV r,M;2;Move from M
01000111;01DDDSSS;MOV r1,r2;1;Move register
01001000;01DDDSSS;MOV r1,r2;1;Move register
01001001;01DDDSSS;MOV r1,r2;1;Move register
01001010;01DDDSSS;MOV r1,r2;1;Move register
01001011;01DDDSSS;MOV r1,r2;1;Move register
01001100;01DDDSSS;MOV r1,r2;1;Move register
01001101;01DDDSSS;MOV r1,r2;1;Move register
01001110;01DDD110;MOV r,M;2;Move from M
01001111;01DDDSSS;MOV r1,r2;1;Move register
01010000;01DDDSSS;MOV r1,r2;1;Move register
01010001;01DDDSSS;MOV r1,r2;1;Move register
01010010;01DDDSSS;MOV r1,r2;1;Move register
01010011;01DDDSSS;MOV r1,r2;1;Move register
01010100;01DDDSSS;MOV r1,r2;1;Move register
01010101;01DDDSSS;MOV r1,r2;1;Move register
01010110;01DDD110;MOV r,M;2;Move from M
01010111;01DDDSSS;MOV r1,r2;1;Move register
01011000;01DDDSSS;MOV r1,r2;1;Move register
01011001;01DDDSSS;MOV r1,r2;1;Move register
01011010;01DDDSSS;MOV r1,r2;1;Move register
01011011;01DDDSSS;MOV r1,r2;1;Move register
01011100;01DDDSSS;MOV r1,r2;1;Move register
01011101;01DDDSSS;MOV r1,r2;1;Move register
01011110;01DDD110;MOV r,M;2;Move from M
01011111;01DDDSSS;MOV r1,r2;1;Move register
01100000;01DDDSSS;MOV r1,r2;1;Move register
01100001;01DDDSSS;MOV r1,r2;1;Move register
01100010;01DDDSSS;MOV r1,r2;1;Move register
01100011;01DDDSSS;MOV r1,r2;1;Move register
01100100;01DDDSSS;MOV r1,r2;1;Move register
01100101;01DDDSSS;MOV r1,r2;1;Move register
01100110;01DDD110;MOV r,M;2;Move from M
